Airline,Time,Amount,Type,Source
United,20171,8426000000,Revenue,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/revenue
United,20223,7907000000,GrossProfit,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/gross-profit
United,20222,7207000000,GrossProfit,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/gross-profit
United,20221,4364000000,GrossProfit,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/gross-profit
United,20214,5230000000,GrossProfit,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/gross-profit
United,20213,5174000000,GrossProfit,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/gross-profit
United,20212,3390000000,GrossProfit,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/gross-profit
United,20211,1622000000,GrossProfit,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/gross-profit
United,20204,2045000000,GrossProfit,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/gross-profit
United,20203,1441000000,GrossProfit,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/gross-profit
United,20202,737000000,GrossProfit,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/gross-profit
United,20201,5082000000,GrossProfit,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/gross-profit
United,20194,7439000000,GrossProfit,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/gross-profit
United,20193,7873000000,GrossProfit,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/gross-profit
United,20192,7881000000,GrossProfit,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/gross-profit
United,20191,6470000000,GrossProfit,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/gross-profit
United,20184,7027000000,GrossProfit,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/gross-profit
United,20183,7300000000,GrossProfit,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/gross-profit
United,20182,7256000000,GrossProfit,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/gross-profit
United,20181,5997000000,GrossProfit,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/gross-profit
United,20174,6858000000,GrossProfit,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/gross-profit
United,20173,6695000000,GrossProfit,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/gross-profit
United,20172,7318000000,GrossProfit,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/gross-profit
United,20171,5876000000,GrossProfit,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/gross-profit
United,20223,942000000,NetIncome,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/net-income
United,20222,329000000,NetIncome,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/net-income
United,20221,-1377000000,NetIncome,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/net-income
United,20214,-646000000,NetIncome,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/net-income
United,20213,473000000,NetIncome,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/net-income
United,20212,-434000000,NetIncome,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/net-income
United,20211,-1357000000,NetIncome,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/net-income
United,20204,-1897000000,NetIncome,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/net-income
United,20203,-1841000000,NetIncome,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/net-income
United,20202,-1627000000,NetIncome,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/net-income
United,20201,-1704000000,NetIncome,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/net-income
United,20194,641000000,NetIncome,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/net-income
United,20193,1024000000,NetIncome,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/net-income
United,20192,1052000000,NetIncome,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/net-income
United,20191,292000000,NetIncome,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/net-income
United,20184,461000000,NetIncome,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/net-income
United,20183,833000000,NetIncome,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/net-income
United,20182,683000000,NetIncome,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/net-income
United,20181,145000000,NetIncome,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/net-income
United,20174,578000000,NetIncome,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/net-income
United,20173,645000000,NetIncome,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/net-income
United,20172,821000000,NetIncome,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/net-income
United,20171,99000000,NetIncome,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/net-income
JetBlue,20222,2445000000,Revenue,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/revenue
JetBlue,20221,1736000000,Revenue,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/revenue
JetBlue,20214,1833000000,Revenue,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/revenue
JetBlue,20213,1972000000,Revenue,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/revenue
JetBlue,20212,1499000000,Revenue,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/revenue
JetBlue,20211,733000000,Revenue,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/revenue
JetBlue,20204,662000000,Revenue,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/revenue
JetBlue,20203,492000000,Revenue,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/revenue
JetBlue,20202,215000000,Revenue,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/revenue
JetBlue,20201,1588000000,Revenue,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/revenue
JetBlue,20194,2032000000,Revenue,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/revenue
JetBlue,20193,2086000000,Revenue,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/revenue
JetBlue,20192,2105000000,Revenue,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/revenue
JetBlue,20191,1871000000,Revenue,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/revenue
JetBlue,20184,1968000000,Revenue,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/revenue
JetBlue,20183,2008000000,Revenue,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/revenue
JetBlue,20182,1928000000,Revenue,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/revenue
JetBlue,20181,1754000000,Revenue,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/revenue
JetBlue,20174,1758000000,Revenue,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/revenue
JetBlue,20173,1818000000,Revenue,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/revenue
JetBlue,20172,1836000000,Revenue,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/revenue
JetBlue,20171,1600000000,Revenue,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/revenue
JetBlue,20222,1197000000,GrossProfit,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/gross-profit
JetBlue,20221,855000000,GrossProfit,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/gross-profit
JetBlue,20214,1036000000,GrossProfit,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/gross-profit
JetBlue,20213,1117000000,GrossProfit,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/gross-profit
JetBlue,20212,799000000,GrossProfit,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/gross-profit
JetBlue,20211,296000000,GrossProfit,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/gross-profit
JetBlue,20204,305000000,GrossProfit,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/gross-profit
JetBlue,20203,172000000,GrossProfit,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/gross-profit
JetBlue,20202,35000000,GrossProfit,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/gross-profit
JetBlue,20201,930000000,GrossProfit,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/gross-profit
JetBlue,20194,1303000000,GrossProfit,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/gross-profit
JetBlue,20193,1306000000,GrossProfit,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/gross-profit
JetBlue,20192,1307000000,GrossProfit,https://www.macrotrends.net/stocks/charts/JBLU/jetblue-airways/gross-profit
