year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2022,6,DL,Delta Air Lines Inc.,LAS,"Las Vegas, NV: McCarran International",1247,220,130.61,4.75,39.95,1.78,42.91,38,0,13254,8662,241,1605,89,2657
2022,6,DL,Delta Air Lines Inc.,LAX,"Los Angeles, CA: Los Angeles International",2855,604,302.15,16.86,140.37,1,143.62,104,3,39156,22502,1213,5618,55,9768
2022,6,DL,Delta Air Lines Inc.,LGA,"New York, NY: LaGuardia",2174,486,143.38,21.74,200.05,0,120.83,209,28,45812,12682,2336,19068,0,11726
2022,6,DL,Delta Air Lines Inc.,MCO,"Orlando, FL: Orlando International",1590,473,191.07,11.81,150.66,1,118.45,58,9,34321,15036,1134,9324,43,8784
2022,6,DL,Delta Air Lines Inc.,MDW,"Chicago, IL: Chicago Midway International",88,23,14.7,1.31,0.38,0,6.62,5,0,1061,680,90,21,0,270
2022,6,DL,Delta Air Lines Inc.,MIA,"Miami, FL: Miami International",701,214,82.37,5.04,76.49,1,49.1,57,10,14648,5848,485,3855,33,4427
2022,6,DL,Delta Air Lines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",4903,682,297,28.62,105.99,0,250.4,120,3,50034,24203,2512,4885,0,18434
2022,6,DL,Delta Air Lines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",843,138,73.82,5.09,33.61,0,25.48,34,1,9947,5637,446,2007,0,1857
2022,6,DL,Delta Air Lines Inc.,PHL,"Philadelphia, PA: Philadelphia International",393,67,46.59,0.93,9.43,0,10.06,23,0,3723,2626,34,341,0,722
2022,6,DL,Delta Air Lines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",790,170,90.74,4.6,27.98,0,46.69,31,3,10053,5287,262,1208,0,3296
2022,6,DL,Delta Air Lines Inc.,SAN,"San Diego, CA: San Diego International",702,145,82.16,4.78,32.45,0,25.61,26,0,9090,6054,305,964,0,1767
2022,6,DL,Delta Air Lines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",2476,448,217.13,10.43,89.44,0,130.99,131,5,35998,21612,701,3539,0,10146
2022,6,DL,Delta Air Lines Inc.,SFO,"San Francisco, CA: San Francisco International",905,171,82.41,6.64,29.67,0,52.28,43,2,13333,7614,602,1421,0,3696
2022,6,DL,Delta Air Lines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",4174,622,261.74,19.54,70.4,0,270.32,149,13,53066,26458,1308,3366,0,21934
2022,6,DL,Delta Air Lines Inc.,TPA,"Tampa, FL: Tampa International",1073,260,119.46,10.57,72.18,0,57.8,49,3,18370,8598,1155,4329,0,4288
